"Ref","DeletionMark","Code","Description","DescriptionFull","CodeAlpha2","CodeAlpha3","EEUMember","InternationalDescription","EUMember"
"e1cib/data/Catalog.WorldCountries?ref=acfc00d8612fc14e11eded9803a2688d","False","644","TURKEY","Republic of Turkey","TR","TUR","False","","False"
"e1cib/data/Catalog.WorldCountries?ref=b2d1ebd1cc5fb6dd11ee68f66f79adea","False","380","ITALY","Italian Republic","IT","ITA","False","","True"
"e1cib/data/Catalog.WorldCountries?ref=b2d1ebd1cc5fb6dd11ee68f66f79adeb","False","643","RUSSIA","Russian Federation","RU","RUS","False","","False"
