"Counterparty","Accounts receivable","Advances paid cur.","Contract","Accounts payable","Accounts receivable cur.","Advances received","Advances received cur.","Accounts payable cur.","Advances paid","Accounts issued on check and bill note","Accounts receivable on check and bill note","Accounts unissued invoices","Accounts unreceived invoices"
"","401.1  Furnizori","409.11 Furnizori  - debitori pentru cumpărări de bunuri de natura stocurilor (Valuta straina)","","411.1  Clienți","401.2  Furnizori (Valuta straina)","419.1  Clienți - creditori","419.2  Clienți - creditori (Valuta straina)","411.2  Clienți  (Valuta straina)","409.1  Furnizori - debitori pentru cumpărări de bunuri de natura stocurilor","403.1  Efecte de plătit","413.1  Efecte de primit de la clienți","418.1  Clienți - facturi de întocmit","408.1  Furnizori - facturi nesosite"
