"Ref","Type","Kind","Presentation","Value","Country","State","City","EMAddress","ServerDomainName","PhoneNumber","PhoneNumberWithoutCodes","FieldValues"
"e1cib/data/Catalog.Companies?ref=acfd00d8612fc14e11edf00c07ecd148","Enum.ContactInformationTypes.Address","e1cib/data/Catalog.ContactInformationKinds?refName=CompanyActualAddress","NEAMȚ, MUN. ROMAN, STR. NORDULUI, 3, 611047","","Romania","","","","","","",""
"e1cib/data/Catalog.Companies?ref=acfd00d8612fc14e11edf00c07ecd148","Enum.ContactInformationTypes.Address","e1cib/data/Catalog.ContactInformationKinds?refName=CompanyLegalAddress","NEAMȚ, MUN. ROMAN, STR. NORDULUI, 3, 611047","","Romania","","","","","","",""
