"Ref","DeletionMark","Parent","IsFolder","Code","Description","CounterpartyKind","BusinessIdentificationNo","Customer","DefaultCurrency","FullName","Identifier","ImportMatch","NewObject","TaxRegistrationNumber","Vendor","ActualDataDate","RecordNumberInCommercialRegister","Country","Region","NonResident","VATPayerVIES","GLN","Other","RepresentativePerson","PostalDistrict"
"e1cib/data/Catalog.Companies?ref=acfd00d8612fc14e11edef1b149fba9f","False","","False","","CUSTOM ROMANIA","Enum.CounterpartyKinds.LegalEntity","","False","","","","","False","","True","01.01.0001 00:00:00","","e1cib/data/Catalog.WorldCountries?refName=ROMANIA","","False","False","","True","",""
"e1cib/data/Catalog.Companies?ref=acfc00d8612fc14e11eded9803a2688e","False","","False","","Türk Telekom International HU Kft","Enum.CounterpartyKinds.LegalEntity","","False","","","","","False","14557598","True","01.01.0001 00:00:00","","FindByAttribute:Catalog.WorldCountries;Description;TURKEY","","True","False","","False","",""
