Image Name                     PID Session Name        Session#    Mem Usage
rdpclip.exe                  19276                           10     11.284 K
rdpclip.exe                  25192                           13     12.080 K
rdpclip.exe                  26236 RDP-Tcp#143                6     11.536 K
rdpclip.exe                  27020                            4     11.968 K
Registry                       200 Services                   0     87.584 K
Runner.Listener.exe           4028 RDP-Tcp#94                 3     73.184 K
Runner.Listener.exe           4036 RDP-Tcp#94                 3     71.544 K
Runner.Worker.exe            16360 RDP-Tcp#94                 3     73.836 K
RuntimeBroker.exe             1696 RDP-Tcp#8                  2     31.732 K
RuntimeBroker.exe             2340 RDP-Tcp#8                  2     14.288 K
RuntimeBroker.exe             3212 RDP-Tcp#8                  2     21.400 K
RuntimeBroker.exe             3992                           13     46.344 K
RuntimeBroker.exe             4224                           13      8.156 K
RuntimeBroker.exe             7196                            4     18.344 K
RuntimeBroker.exe             8224 RDP-Tcp#94                 3     24.460 K
RuntimeBroker.exe             8300 RDP-Tcp#94                 3     16.416 K
RuntimeBroker.exe             8400 RDP-Tcp#94                 3     13.652 K
RuntimeBroker.exe             8600                           10     13.036 K
RuntimeBroker.exe             8892                            8     16.376 K
RuntimeBroker.exe            14384                            8     29.056 K
RuntimeBroker.exe            15168                           10      8.164 K
RuntimeBroker.exe            15420                            4     16.476 K
RuntimeBroker.exe            15508                           10     16.204 K
RuntimeBroker.exe            17856                            8     26.716 K
RuntimeBroker.exe            26088                           13     18.172 K
RuntimeBroker.exe            26812                            4     29.860 K
RuntimeBroker.exe            26964 RDP-Tcp#143                6     17.304 K
RuntimeBroker.exe            27040 RDP-Tcp#143                6     35.700 K
RuntimeBroker.exe            27904 RDP-Tcp#143                6     13.696 K
SearchUI.exe                  3628 RDP-Tcp#94                 3     66.256 K
SearchUI.exe                  6068 RDP-Tcp#8                  2     64.128 K
SearchUI.exe                 14620                            8     98.428 K
SearchUI.exe                 18848                            4     64.880 K
SearchUI.exe                 18864                           10     49.224 K
SearchUI.exe                 22008                           13     47.140 K
SearchUI.exe                 26820 RDP-Tcp#143                6     96.056 K
SecurityHealthService.exe    12488 Services                   0     11.984 K
ServerManager.exe            26836 RDP-Tcp#143                6     88.140 K
services.exe                   844 Services                   0     14.924 K
ShellExperienceHost.exe       1236 RDP-Tcp#8                  2     58.608 K
ShellExperienceHost.exe       6520 RDP-Tcp#94                 3     47.544 K
ShellExperienceHost.exe       9944                           10     42.552 K
ShellExperienceHost.exe      14416                            8     56.244 K
