"Ref","DeletionMark","Code","Description","ImportingFromInternet","DescriptionFull","Markup","MainCurrency","AmountInWordsParameters","RateCalculationFormula","RateSource","Symbol","AutoUpdateRates","AddedFromClassifier"
"e1cib/data/Catalog.Currencies?ref=b866f4a475f92bac11ee56bc711afd2d","False","978","EUR","False","Euro","","","","","Enum.RateSources.DownloadFromInternet","€","False","True"
"e1cib/data/Catalog.Currencies?ref=b866f4a475f92bac11ee56bc711afd2e","False","392","JPY","False","Yen","","","","","Enum.RateSources.DownloadFromInternet","¥","False","True"
"e1cib/data/Catalog.Currencies?ref=b871f4a475f92bac11ee885151b2124b","False","826","GBP","False","Pound Sterling","","","","","Enum.RateSources.DownloadFromInternet","£","False","True"
